,ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,label,AQI
664,0.0444,0.0519,0.0805,0.0787,0.2432,0.1714,0.1043,0.1645,0.51102827,1.005499015,271,2,42
920,0.0653,0.0792,0.1099,0.0975,0.1722,0.2123,0.1903,0.0747,0.276974416,0.881461523,34,4,133
808,0.1172,0.1235,0.1496,0.145,0.3022,0.225,0.1637,0.1572,0.351520572,0.922778723,127,3,72
477,0.0377,0.0482,0.0723,0.0629,0.2144,0.1465,0.0947,0.1515,0.546339704,1.022907476,300,2,28
794,0.0515,0.0643,0.0903,0.0861,0.1645,0.159,0.1279,0.0784,0.312849162,0.901581478,271,3,68
461,0.4314,0.4579,0.4709,0.4989,0.5974,0.4893,0.3988,0.0985,0.089847669,0.76801541,47,2,28
928,0.6901,0.697,0.7306,0.7413,0.7657,0.5158,0.353,0.0244,0.016191108,0.71846441,15,4,139
79,0.5549,0.5811,0.5648,0.5761,0.6743,0.5095,0.3634,0.0982,0.078534869,0.760614797,143,1,16
498,0.0413,0.0504,0.083,0.0743,0.2533,0.1929,0.1279,0.179,0.546398046,1.022935993,332,2,30
380,0.187,0.1833,0.1948,0.1835,0.2806,0.2706,0.215,0.0971,0.20922215,0.842153282,47,1,25
107,0.0796,0.0881,0.1077,0.1176,0.1895,0.199,0.1601,0.0719,0.234125692,0.856811351,255,1,17
601,0.1562,0.1619,0.1728,0.1775,0.2745,0.2866,0.2265,0.097,0.21460177,0.845341215,111,2,37
287,0.0833,0.0846,0.0883,0.0811,0.1137,0.0915,0.0704,0.0326,0.167351129,0.816915619,284,1,22
181,0.0371,0.0446,0.0673,0.0623,0.241,0.1626,0.0916,0.1787,0.589185625,1.043640563,303,1,20
441,0.0816,0.0838,0.0993,0.1019,0.1755,0.1594,0.1124,0.0736,0.265320836,0.874826175,319,2,26
331,0.0954,0.1021,0.0979,0.0873,0.1304,0.0778,0.0565,0.0431,0.19797887,0.835451297,364,1,23
350,0.0533,0.0648,0.1034,0.1073,0.2878,0.25,0.1489,0.1805,0.456846368,0.978185242,316,1,24
147,0.0395,0.056,0.0993,0.0891,0.3145,0.2255,0.1308,0.2254,0.558473736,1.028821528,287,1,19
418,0.2338,0.2347,0.2477,0.2457,0.3736,0.2917,0.2225,0.1279,0.206523494,0.840549519,159,2,26
584,0.0797,0.0933,0.1066,0.1124,0.1945,0.1721,0.1289,0.0821,0.267513848,0.876078677,284,2,35
