ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,AQI
0.2842,0.2847,0.2925,0.2893,0.348,0.2919,0.2383,0.0587,0.092107328,0.769485106,159,21
0.1081,0.1157,0.1375,0.1591,0.3462,0.3948,0.2337,0.1871,0.370275084,0.932885354,63,21
0.0944,0.1044,0.132,0.1542,0.347,0.3937,0.2272,0.1928,0.384676776,0.940572579,63,21
0.1858,0.1774,0.2131,0.2126,0.2734,0.268,0.22,0.0608,0.125102881,0.79063448,287,21
0.1446,0.1441,0.1968,0.1997,0.2723,0.2676,0.2099,0.0726,0.153813559,0.808587385,287,21
0.1346,0.1298,0.1812,0.1816,0.2193,0.2389,0.2082,0.0377,0.094038414,0.770738875,303,21
0.1291,0.1452,0.1801,0.1836,0.2575,0.2465,0.2007,0.0739,0.167535706,0.817028583,191,21
0.1337,0.1307,0.1778,0.1823,0.2213,0.2373,0.1992,0.039,0.096630327,0.772418492,303,21
0.1513,0.1607,0.1864,0.1884,0.2582,0.2439,0.1976,0.0698,0.156291984,0.8101185,191,21
0.0678,0.086,0.1159,0.1176,0.2017,0.2175,0.1803,0.0841,0.263388663,0.873721158,348,21
0.0687,0.086,0.1171,0.1185,0.2024,0.2168,0.1796,0.0839,0.261452166,0.872612265,348,21
0.1433,0.1563,0.1734,0.1735,0.2485,0.2413,0.176,0.075,0.177725118,0.82324062,300,21
0.0332,0.0447,0.0703,0.0746,0.193,0.2038,0.1694,0.1184,0.44245142,0.970799372,316,21
0.2396,0.2389,0.2425,0.2395,0.3196,0.2387,0.1684,0.0801,0.143265963,0.802038629,239,21
0.0659,0.0746,0.0996,0.0993,0.2186,0.209,0.1678,0.1193,0.375275244,0.935561459,319,21
0.051,0.0636,0.0956,0.096,0.2185,0.21,0.1675,0.1225,0.389507154,0.943136869,319,21
0.0594,0.0644,0.0793,0.0815,0.1949,0.2002,0.1674,0.1134,0.410274964,0.954083311,316,21
0.2391,0.2382,0.2414,0.2381,0.3192,0.2386,0.1664,0.0811,0.145523058,0.803444496,239,21
0.0651,0.0817,0.1091,0.1172,0.1952,0.1857,0.1588,0.078,0.249679898,0.865840573,335,21
0.0695,0.0823,0.1055,0.1147,0.1949,0.1836,0.1558,0.0802,0.259043928,0.871231271,335,21
0.0643,0.0741,0.0942,0.0882,0.3071,0.2131,0.1194,0.2189,0.553756641,1.026526493,300,21
0.0738,0.0814,0.0981,0.0911,0.3083,0.2119,0.1155,0.2172,0.543815724,1.021673002,300,21
0.0421,0.0539,0.0819,0.0868,0.2109,0.1933,0.1121,0.1241,0.416862613,0.957529432,335,21
0.0716,0.0808,0.0937,0.0956,0.1533,0.1442,0.1094,0.0577,0.231820008,0.855464791,63,21
0.043,0.0548,0.0822,0.087,0.2118,0.196,0.109,0.1248,0.417670683,0.957951295,335,21
0.0685,0.0779,0.0913,0.0926,0.1491,0.1433,0.1058,0.0565,0.233760861,0.856598424,63,21
0.0782,0.0713,0.0832,0.0692,0.1875,0.1482,0.0909,0.1183,0.46084924,0.980229177,332,21
0.0762,0.0703,0.0808,0.0671,0.188,0.1471,0.088,0.1209,0.473931791,0.986879826,332,21
0.025,0.0365,0.067,0.0563,0.2753,0.1549,0.0808,0.219,0.660434258,1.077234542,303,21
0.0482,0.0676,0.0831,0.0821,0.1284,0.1059,0.0743,0.0463,0.219952494,0.848500144,364,21
0.0494,0.0674,0.0824,0.0802,0.1277,0.1057,0.0732,0.0475,0.228475228,0.853507603,364,21
0.0738,0.0769,0.0789,0.0608,0.2378,0.1079,0.0612,0.177,0.592766242,1.045354601,300,21
0.0826,0.0837,0.0829,0.0649,0.2369,0.1085,0.0603,0.172,0.56991385,1.0343664,300,21
0.0782,0.0824,0.0875,0.0666,0.0557,0.0333,0.026,-0.0109,-0.089125102,0.64099524,47,21
0.0634,0.0696,0.0797,0.0581,0.0491,0.0318,0.0256,-0.009,-0.083955224,0.64501533,47,21
0.3665,0.3907,0.4171,0.4428,0.5472,0.5435,0.4432,0.1044,0.105454545,0.778109597,95,22
0.3682,0.3925,0.4193,0.4445,0.5491,0.5451,0.4424,0.1046,0.105273752,0.777993414,95,22
0.4571,0.4616,0.4742,0.488,0.5493,0.4949,0.39,0.0613,0.059095729,0.747727042,332,22
0.4557,0.4611,0.4707,0.4816,0.5459,0.4934,0.3804,0.0643,0.062579075,0.750052715,332,22
0.1448,0.1431,0.1043,0.0864,0.2693,0.4109,0.3726,0.1829,0.514197357,1.00707366,303,22
0.1292,0.1303,0.0968,0.0794,0.2637,0.3942,0.3539,0.1843,0.537161177,1.018411104,303,22
0.2433,0.252,0.2604,0.2753,0.3764,0.3535,0.2991,0.1011,0.15513273,0.809402699,47,22
0.2431,0.2521,0.2613,0.2761,0.3764,0.3534,0.2984,0.1003,0.153716475,0.80852735,47,22
0.135,0.1325,0.0987,0.0863,0.2424,0.33,0.2725,0.1561,0.474901126,0.987370815,335,22
0.1244,0.125,0.0931,0.082,0.239,0.3244,0.2711,0.157,0.489096573,0.994533344,335,22
